,QCLN_Adj_close,VIX,OVX,VXN,EPU,EMU,EMV_IDT,MA50,MA200,RSI,WAD,StoSLOWD,StoFASTK,StoFASTD,ADX,MACD,MACD Signal,PriceRateOfChange,onBalanceVolume,MFI
2009-04-16,10.947591781616211,35.790000915527344,69.94999694824219,36.79999923706055,111.78,21.74,0.96,9.470767440795898,13.623687965869903,63.922313215426655,-65.58077298252245,34.82284979145005,34.41922701747755,30.2831272637042,18.959533934288807,0.4424123729384064,0.3732667329955183,5.580195326518811,-183100.0,51.178347988452074
2009-04-17,11.03024959564209,33.939998626708984,50.119998931884766,35.290000915527344,146.91,40.6,0.79,9.48840114593506,13.567756078243256,64.75554822622792,-62.11541945033359,30.972772933821688,37.88458054966641,30.479853263858207,19.623859853903898,0.4570172536393553,0.3900168371242857,7.616516702718545,-160400.0,48.499704958712655
2009-04-20,10.332247734069824,39.18000030517578,60.84000015258789,39.709999084472656,106.35,49.86,0.0,9.486196937561035,13.513201820850373,53.51555160372885,-106.57023315587628,27.55805733266168,-6.57023315587629,21.91119147042258,18.86231619480736,0.40757058997605,0.3935275876946386,7.2449971491471254,-173600.0,48.1836650826932
2009-04-21,10.543485641479492,37.13999938964844,54.75,38.439998626708984,152.61,45.36,0.44,9.482523307800292,13.460897676944732,56.0043997668206,-96.63610910512969,21.316819165722556,3.363890894870312,11.559412762886831,17.954136429229436,0.3810365345349034,0.39102937706269153,8.097934623881752,-157700.0,40.884679987545965
2009-04-22,10.855745315551758,38.099998474121094,53.599998474121094,39.2400016784668,304.61,59.98,0.59,9.485462188720703,13.410108950138092,59.45985116071037,-100.32475876051498,10.764523519823053,-0.324758760514984,-1.1770336738402996,18.21788117082287,0.3808150515992015,0.3889865119699935,8.340941959499236,-122000.0,46.785523151414225
2009-04-23,10.727167129516602,37.150001525878906,53.880001068115234,37.95000076293945,243.69,109.96,0.0,9.49427900314331,13.3579425740242,57.458666525224714,-110.13988432152645,2.6718205644409636,-10.139884321526461,-2.3669173957236898,18.46278700230249,0.3660448031014827,0.38439817019629136,2.276659853829832,-169600.0,38.326255838484116
2009-04-24,10.956770896911621,36.81999969482422,52.810001373291016,36.79999923706055,187.13,31.19,0.0,9.512096328735351,13.30940395116806,60.04469996835925,-92.61288479108352,-1.5232645646463017,7.387115208916488,-1.0258426243749648,18.930632932793973,0.36861719038861196,0.3812419742347555,3.8293945545315955,-114600.0,49.40467060603761
2009-04-27,10.80982780456543,38.31999969482422,56.75,38.790000915527344,98.97,77.25,1.23,9.522933731079101,13.258661134243011,57.63019568062896,-103.82991114815799,-1.862328924562635,-3.8299111481579895,-2.1942267535893,19.36506129682178,0.35470987174676694,0.37593555373715776,3.245613307995554,-129600.0,49.70364042332754
2009-04-28,10.690431594848633,37.95000076293945,55.40999984741211,38.529998779296875,118.32,107.11,3.14,9.529362716674804,13.205346715450286,55.67130259490599,-122.2783830413067,-3.153487457160088,-22.278383041306707,-6.240392993516049,19.426185320767978,0.3302470626710843,0.36679785552394306,7.182336078548479,-147400.0,48.98924236813013
2009-04-29,11.20474910736084,36.08000183105469,53.709999084472656,36.959999084472656,246.58,89.91,4.74,9.558935947418213,13.154879438877106,61.70913761751904,-96.14230466938739,-5.283828677796435,3.857695330612621,-7.416866286284004,20.347607919264608,0.3483457225110964,0.3631074289213737,9.515255754592511,-109400.0,52.46713169335266
